,Prediction
0,12.370714896427268
1,12.11153185563416
2,13.833867162748776
3,13.301549839346714
4,13.650852054531407
5,13.37529349138149
6,14.81866051042502
7,15.893875970336945
8,13.085403863069583
9,11.032808626375296
10,14.721465648258036
11,9.807043444059428
12,12.332106470631695
13,16.013147249687684
14,12.50094725773557
15,11.626306580204393
16,13.033414207068468
17,13.643947717896921
18,12.952104107209793
19,12.274594308703728
20,11.74646632802076
21,11.900784957749927
22,11.451288346823162
23,13.089443751280678
24,12.551015669978261
25,12.881994993818486
26,13.283549809031797
27,11.770511769794673
28,12.286336624348424
29,12.621097003664206
30,11.485121955639954
31,12.948088380745038
32,11.869485204704347
33,12.66025105832072
34,13.879591571650822
35,12.377497040100895
36,14.875496624076632
37,12.940338562202015
38,12.325909124328323
39,11.638158807880666
40,11.636853805501813
41,13.309700798888874
42,12.153177782586786
43,11.997465405453417
44,11.822265741109605
45,12.439948480847155
46,12.458663596238901
47,11.878862313811942
48,12.094958485471455
49,13.611819249741423
50,13.793754278415529
51,11.793629929773779
52,14.107980441289499
53,14.093950697943205
54,13.376969688941433
55,20.142711993548627
56,12.46644567726331
57,10.756361341322151
58,11.350626445502403
59,11.603725311493797
60,11.812883396125086
61,13.086574010765416
62,15.37888017955075
63,14.610638885026566
64,9.434381360241089
65,11.257824455262977
66,13.138320688710627
67,11.96484882429073
68,12.079670408352637
69,12.670842042807159
70,11.402115111422724
71,11.517200186361922
72,13.476512175876175
73,12.38682219566077
74,26.43161722046795
75,13.700469968139036
76,11.122157202815453
77,12.64507443357594
78,11.95702984964584
79,13.19140921855006
80,13.690926158353893
81,10.274811984884176
82,15.117456152501964
83,12.104845057587418
84,12.811844427641079
85,11.473553118856994
86,13.730573496220089
87,11.514265968460256
88,11.484975134272412
89,11.754023875473528
90,11.454677294684913
91,12.722668430687945
92,19.018446225705826
93,11.535494566846014
94,11.317013537930473
95,13.926265743587951
96,11.55898070582234
97,11.563321331311531
98,12.828618815146806
99,13.126800825835344
100,11.3790135992855
101,12.062266296801914
102,11.495097330508838
103,11.576290337116081
104,10.7468747260837
105,11.361496629395456
106,14.14389600757723
107,11.550627856273215
108,14.473405961520355
109,12.4508054345915
110,13.201315319067456
111,12.292435843766535
112,13.879477174586828
113,12.119781420325557
114,12.099103681250073
115,13.436702946795418
116,11.87472360901877
117,15.132482430293319
118,13.894136961841923
119,13.894136961841923
120,14.005461073232429
121,13.474635622162177
122,13.18628343488325
123,14.315480325021797
124,12.333371598533276
125,10.90360646456498
126,14.121612838835011
127,11.389992637676349
128,12.097096662810603
129,12.349233814070493
130,11.152826118519108
131,12.986840651585807
132,14.83503257841371
133,11.491567740819345
134,11.62842563985179
135,14.181753241666092
136,11.568404281725543
137,12.584605985579532
138,11.79306485972202
139,12.896801663332868
140,13.668970005724455
141,10.796893038743509
142,12.860723282163528
143,13.17564362580164
144,12.98275232052183
145,11.497809271955399
146,12.216792387985224
147,11.627144899868833
148,11.613142638214327
149,12.664526154537809
150,11.777740158152628
151,15.015368265335697
152,13.357591637024365
153,13.056769257783465
154,15.34893287844892
155,15.405365759958682
156,11.704609813517045
157,13.557360732651048
158,12.456831824659384
159,11.702779891134984
160,14.209479235490912
161,11.12297139312435
162,13.149441927463048
163,15.118813206789685
164,11.410649587354007
165,12.024117108310142
166,10.986604741594554
167,13.150373232540666
168,11.990275034476987
169,11.781829949528671
170,13.350649704517432
171,14.995847308921208
172,13.509652598177619
173,11.874974611226408
174,12.203121722803074
175,14.17510569204167
176,13.678834285095547
177,12.527608409146564
178,11.109961468922991
179,12.163693268776239
180,17.727706086155106
181,13.943866055417429
182,12.403327658421095
183,11.577127183890472
184,11.283588890194583
185,13.592211567751974
186,12.722882067153554
187,12.804075073760796
188,11.726338652297363
189,11.72976648894815
190,12.696461959432844
191,13.694032590390638
192,16.365338879139046
193,11.130845911840158
194,11.253112209626309
195,12.082566871783188
